size,recipe,n_train,rate_train,lift_train,n_val,rate_val,lift_val,n_test,rate_test,lift_test,avg_oos_rate,min_oos_rate
4,atr_14_q1 & h_1 & macd_hist_q1 & range_20_q1,89,0.20224719101123595,2.211385767790262,36,0.16666666666666666,1.911749482401656,42,0.19047619047619047,1.9781046410101415,0.17857142857142855,0.16666666666666666
4,rsi_14_q1 & sess_london_1 & sess_ny_0 & streak_down_5p,89,0.21348314606741572,2.334240532667499,30,0.16666666666666666,1.911749482401656,22,0.18181818181818182,1.8881907936914988,0.17424242424242425,0.16666666666666666
4,atr_14_q1 & bb_width_q1 & pos_in_range_20_q1 & rsi_14_q1,269,0.20074349442379183,2.194944237918216,132,0.16666666666666666,1.911749482401656,157,0.17834394904458598,1.8521107148311515,0.17250530785562632,0.16666666666666666
4,atr_ratio_q1 & bb_pos_q1 & range_20_q1 & sess_london_1,268,0.16044776119402984,1.75434770591487,126,0.16666666666666666,1.911749482401656,95,0.16842105263157894,1.749060945735283,0.1675438596491228,0.16666666666666666
4,atr_14_q1 & bb_pos_q1 & range_20_q1 & sess_london_1,318,0.17295597484276728,1.8911134404845096,138,0.16666666666666666,1.911749482401656,114,0.16666666666666666,1.7308415608838739,0.16666666666666666,0.16666666666666666
3,h_2 & macd_hist_q1 & rsi_14_q1,400,0.1775,1.940798148148148,201,0.18407960199004975,2.111484502951083,223,0.16591928251121077,1.723079939534619,0.17499944225063024,0.16591928251121077
4,h_2 & macd_hist_q1 & rsi_14_q1 & sess_london_1,400,0.1775,1.940798148148148,201,0.18407960199004975,2.111484502951083,223,0.16591928251121077,1.723079939534619,0.17499944225063024,0.16591928251121077
4,h_2 & macd_hist_q1 & rsi_14_q1 & sess_ny_0,400,0.1775,1.940798148148148,201,0.18407960199004975,2.111484502951083,223,0.16591928251121077,1.723079939534619,0.17499944225063024,0.16591928251121077
3,atr_ratio_q1 & pos_in_range_20_q1 & sess_london_1,497,0.14084507042253522,1.5400104329681796,248,0.17338709677419356,1.9888361550791425,217,0.16589861751152074,1.722865332492704,0.16964285714285715,0.16589861751152074
4,atr_14_q1 & bb_pos_q1 & bb_width_q1 & range_20_q1,459,0.19389978213507625,2.1201145808117485,205,0.16585365853658537,1.9024238751704288,232,0.1853448275862069,1.9248151840863772,0.17559924306139613,0.16585365853658537
4,atr_14_q1 & bb_width_q1 & pos_in_range_20_q1 & range_20_q1,397,0.17380352644836272,1.9003806325216905,199,0.1658291457286432,1.902142701083055,229,0.18777292576419213,1.9500311035285565,0.17680103574641767,0.1658291457286432
4,atr_ratio_q1 & bb_width_q1 & pos_in_range_20_q1 & sess_ny_0,343,0.18950437317784258,2.072054853687507,145,0.16551724137931034,1.8985650032126793,166,0.18072289156626506,1.876816150356008,0.17312006647278771,0.16551724137931034
4,atr_ratio_q1 & bb_pos_q1 & macd_hist_q1 & sess_london_1,304,0.18092105263157895,1.9782041910331385,139,0.16546762589928057,1.897995889003083,131,0.17557251908396945,1.8233292778776686,0.170520072491625,0.16546762589928057
4,atr_ratio_q2 & macd_hist_q1 & pos_in_range_20_q1 & sess_london_1,250,0.148,1.6182429629629629,130,0.18461538461538463,2.1176301958910653,97,0.16494845360824742,1.7129978334520812,0.174781919111816,0.16494845360824742
3,h_2 & pos_in_range_20_q1 & vol_5_20_q4,154,0.18181818181818182,1.988013468013468,57,0.17543859649122806,2.0123678762122696,79,0.16455696202531644,1.7089321740372425,0.16999777925827225,0.16455696202531644
4,h_2 & pos_in_range_20_q1 & sess_london_1 & vol_5_20_q4,154,0.18181818181818182,1.988013468013468,57,0.17543859649122806,2.0123678762122696,79,0.16455696202531644,1.7089321740372425,0.16999777925827225,0.16455696202531644
4,h_2 & pos_in_range_20_q1 & sess_ny_0 & vol_5_20_q4,154,0.18181818181818182,1.988013468013468,57,0.17543859649122806,2.0123678762122696,79,0.16455696202531644,1.7089321740372425,0.16999777925827225,0.16455696202531644
4,atr_14_q1 & bb_pos_q1 & range_20_q1 & rsi_14_q1,277,0.19494584837545126,2.131552346570397,146,0.1643835616438356,1.8855611333276607,163,0.17177914110429449,1.7839348602974898,0.16808135137406505,0.1643835616438356
4,bb_pos_q1 & bb_width_q1 & range_20_q1 & sess_london_1,462,0.16017316017316016,1.7513451980118646,213,0.1643192488262911,1.8848234333537457,171,0.1871345029239766,1.943401050816981,0.17572687587513386,0.1643192488262911
4,bb_width_q1 & rsi_14_q1 & sess_london_1 & vol_5_20_q4,93,0.3010752688172043,3.2919792911190764,67,0.16417910447761194,1.8832159080374524,42,0.30952380952380953,3.21442004164148,0.23685145700071075,0.16417910447761194
