symbol,n_weekends,gap_abs_pct_mean,gap_abs_pct_median,gap_abs_pct_std,gap_abs_pct_p75,gap_abs_pct_p90,gap_abs_pct_p95,gap_pct_mean_signed,pct_significant,pct_continuation,pct_fade,pnl_cont_mean_pct,pnl_cont_win_rate_pct,pnl_cont_sharpe,pnl_fade_mean_pct,pnl_fade_win_rate_pct,pnl_fade_sharpe,oracle_edge_pct,best_naive,best_naive_edge_pct,bias_strength
GBPNZD,260,0.14995543044949478,0.1257696578223173,0.12700164181114448,0.20840094047253369,0.3115174153385062,0.3784999686964804,-0.10914990461547946,41.92307692307693,44.61538461538462,55.38461538461539,-0.02506173359284629,44.61538461538462,-0.9262067003973901,0.02506173359284629,55.38461538461539,0.9262067003973901,0.14995543044949478,fade,0.02506173359284629,5.38461538461538
GBPSGD,260,0.1368996093751643,0.11000491986661072,0.1144890958550639,0.18458447720004223,0.27497807379411293,0.3469589100767032,-0.10760303714885587,37.30769230769231,53.07692307692308,46.53846153846154,0.015296301642133504,53.07692307692308,0.6196541350380842,-0.015296301642133504,46.53846153846154,-0.6196541350380842,0.1368996093751643,continuation,0.015296301642133504,3.07692307692308
GBPJPY,260,0.13670056594549554,0.09749077763766092,0.16126602032043777,0.15288680737689853,0.31016133838615156,0.4182383064933143,-0.07847105184180138,26.153846153846157,47.30769230769231,52.69230769230769,-0.004761258067952679,47.30769230769231,-0.16231551333411684,0.004761258067952679,52.69230769230769,0.16231551333411684,0.13670056594549554,fade,0.004761258067952679,2.6923076923076934
AUDCAD,260,0.13441726592494785,0.11324962441230772,0.12573864055026007,0.1750734795461633,0.25479312407090365,0.343719692100401,-0.10094607372246785,35.0,51.92307692307693,47.69230769230769,0.006671084526803779,51.92307692307693,0.26127127326841315,-0.006671084526803779,47.69230769230769,-0.26127127326841315,0.13441726592494785,continuation,0.006671084526803779,1.923076923076927
CADJPY,260,0.1319281833525025,0.08016112439425055,0.18352867596145037,0.1470084357039649,0.2803282496131998,0.4600310400069637,-0.0686007189204583,24.23076923076923,45.76923076923077,54.230769230769226,-0.011584101682236194,45.76923076923077,-0.36982177461290017,0.011584101682236194,54.230769230769226,0.36982177461290017,0.1319281833525025,fade,0.011584101682236194,4.2307692307692335
EURNZD,260,0.13045021612733637,0.10056407218106408,0.11821337563951215,0.18004674604135867,0.27919843880240514,0.33587080378933487,-0.07715128562807791,33.46153846153846,41.15384615384615,58.84615384615385,-0.03979358635037766,41.15384615384615,-1.6716350805571776,0.03979358635037766,58.84615384615385,1.6716350805571776,0.13045021612733637,fade,0.03979358635037766,8.846153846153847
AUDUSD,260,0.13010889354061395,0.08925683160772149,0.15703965142707693,0.15464104605665926,0.2325811439074216,0.40284156465001647,-0.07795608734823245,26.53846153846154,44.230769230769226,55.38461538461539,-0.013935786804868146,44.230769230769226,-0.4935345609012973,0.013935786804868146,55.38461538461539,0.4935345609012973,0.13010889354061395,fade,0.013935786804868146,5.769230769230774
EURJPY,260,0.12786894253390982,0.07599362548102559,0.18786428024256563,0.1308972806592416,0.2932591491833364,0.39761242292840887,-0.06634880870289138,20.76923076923077,44.230769230769226,55.38461538461539,-0.010693039313806458,44.230769230769226,-0.3394786694677935,0.010693039313806458,55.38461538461539,0.3394786694677935,0.12786894253390982,fade,0.010693039313806458,5.769230769230774
EURCHF,260,0.1274754127280653,0.09616654031300786,0.1453307274113058,0.16056544421653213,0.24716671563880588,0.308850580250602,-0.10342696692380693,28.076923076923077,45.38461538461539,54.230769230769226,-0.004485417113488766,45.38461538461539,-0.16722071377946088,0.004485417113488766,54.230769230769226,0.16722071377946088,0.1274754127280653,fade,0.004485417113488766,4.615384615384613
USDCHF,260,0.12689830585300915,0.10446169818778497,0.10941676984848202,0.1814139439411735,0.259169463851933,0.318237222289808,-0.09555365550486541,31.538461538461537,41.92307692307693,57.30769230769231,-0.03001819405414343,41.92307692307693,-1.311716499794233,0.03001819405414343,57.30769230769231,1.311716499794233,0.12689830585300915,fade,0.03001819405414343,8.076923076923073
